filename,size_bytes,size_gb,size_match,path_glenwrt,path_glenhouse_pc
"X-Men.Apocalypse.2016.BluRay.2160p.x265.10bit.HDR.4Audio.mUHD-FRDS.mkv",31284509958,29.14,True,"/Volumes/Media_Lib/Movies/0-X战警合集/X战警：天启.X-Men.Apocalypse.2016.BluRay.2160p.x265.10bit.HDR.4Audio.mUHD-FRDS/X-Men.Apocalypse.2016.BluRay.2160p.x265.10bit.HDR.4Audio.mUHD-FRDS.mkv","/Volumes/Media_Lib-1/X战警：天启.X-Men.Apocalypse.2016.BluRay.2160p.x265.10bit.HDR.4Audio.mUHD-FRDS/X-Men.Apocalypse.2016.BluRay.2160p.x265.10bit.HDR.4Audio.mUHD-FRDS.mkv"
"Pulp.Fiction.1994.2160p.HDR.UHD.BluRay.DTS-HD.MA.5.1.x265-10bit-HDS.mkv",30444001684,28.35,True,"/Volumes/Media_Lib/Movies/Pulp.Fiction.1994.2160p.HDR.UHD.BluRay.DTS-HD.MA.5.1.x265-10bit-HDS/Pulp.Fiction.1994.2160p.HDR.UHD.BluRay.DTS-HD.MA.5.1.x265-10bit-HDS.mkv","/Volumes/Media_Lib-1/Pulp.Fiction.1994.2160p.HDR.UHD.BluRay.DTS-HD.MA.5.1.x265-10bit-HDS/Pulp.Fiction.1994.2160p.HDR.UHD.BluRay.DTS-HD.MA.5.1.x265-10bit-HDS.mkv"
"The.Hobbit.The.Battle.of.the.Five.Armies.2014.BluRay.2160p.x265.DoVi.mUHD-FRDS.m2ts",30381883392,28.30,True,"/Volumes/Media_Lib/Movies/0-指环王系列/霍比特人3：五军之战.The.Hobbit.The.Battle.of.the.Five.Armies.2014.BluRay.2160p.x265.DoVi.mUHD-FRDS/The.Hobbit.The.Battle.of.the.Five.Armies.2014.BluRay.2160p.x265.DoVi.mUHD-FRDS.m2ts","/Volumes/Media_Lib-1/霍比特人3：五军之战.The.Hobbit.The.Battle.of.the.Five.Armies.2014.BluRay.2160p.x265.DoVi.mUHD-FRDS/The.Hobbit.The.Battle.of.the.Five.Armies.2014.BluRay.2160p.x265.DoVi.mUHD-FRDS.m2ts"
"The.Bourne.Supremacy.2004.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS.mkv",30336458804,28.25,True,"/Volumes/Media_Lib/Movies/0-谍影重重合集/谍影重重2.The.Bourne.Supremacy.2004.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS/The.Bourne.Supremacy.2004.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS.mkv","/Volumes/Media_Lib-1/谍影重重系列/谍影重重2.The.Bourne.Supremacy.2004.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS/The.Bourne.Supremacy.2004.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS.mkv"
"Indiana.Jones.and.the.Dial.of.Destiny.2023.2160p.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-Thor@HDSky.mkv",29813348835,27.77,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/Indiana.Jones.and.the.Dial.of.Destiny.2023.2160p.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-Thor@HDSky.mkv","/Volumes/Media_Lib-1/Indiana.Jones.and.the.Dial.of.Destiny.2023.2160p.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-Thor@HDSky.mkv"
"Red.Cliff.Part.2.2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH.mkv",29639273028,27.60,True,"/Volumes/Media_Lib/Movies/Red.Cliff.2008-2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.2.2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.2.2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH.mkv","/Volumes/Media_Lib-1/Red.Cliff.2008-2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.2.2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.2.2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH.mkv"
"Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG.mkv",28969005958,26.98,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG.mkv","/Volumes/Media_Lib-1/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG.mkv"
"Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG.mkv",28969005958,26.98,True,"/Volumes/Media_Lib/Movies/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG.mkv","/Volumes/Media_Lib-1/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG/Blonde.2022.2160p.NF.WEBRip.DDP5.1.Atmos.x265-CMRG.mkv"
"Dunkirk.2017.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst.mkv",28886754038,26.90,True,"/Volumes/Media_Lib/Movies/0-克里斯托弗·诺兰导演合集/Dunkirk.2017.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst/Dunkirk.2017.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst.mkv","/Volumes/Media_Lib-1/克里斯托弗·罗兰导演合集/Dunkirk.2017.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst/Dunkirk.2017.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst.mkv"
"Red.Cliff.Part.1.2008.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH.mkv",28702048520,26.73,True,"/Volumes/Media_Lib/Movies/Red.Cliff.2008-2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.1.2008.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.1.2008.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH.mkv","/Volumes/Media_Lib-1/Red.Cliff.2008-2009.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.1.2008.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH/Red.Cliff.Part.1.2008.BluRay.Remux.1080p.DTS-HD.MA.7.1-HDH.mkv"
"The.Prestige.2006.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst.mkv",28689206011,26.72,True,"/Volumes/Media_Lib/Movies/0-克里斯托弗·诺兰导演合集/The.Prestige.2006.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst/The.Prestige.2006.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst.mkv","/Volumes/Media_Lib-1/克里斯托弗·罗兰导演合集/The.Prestige.2006.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst/The.Prestige.2006.UHD.BluRay.2160p.10bit.HDR.2Audio.DTS-HD.MA.5.1.x265-beAst.mkv"
"Apollo.11.2019.UHD.BluRay.2160p.10bit.HDR.DTS-HD.MA.5.1.x265-beAst.mkv",28572446703,26.61,True,"/Volumes/Media_Lib/Documentary/Apollo.11.2019.UHD.BluRay.2160p.10bit.HDR.DTS-HD.MA.5.1.x265-beAst/Apollo.11.2019.UHD.BluRay.2160p.10bit.HDR.DTS-HD.MA.5.1.x265-beAst.mkv","/Volumes/Media_Lib-1/Apollo.11.2019.UHD.BluRay.2160p.10bit.HDR.DTS-HD.MA.5.1.x265-beAst/Apollo.11.2019.UHD.BluRay.2160p.10bit.HDR.DTS-HD.MA.5.1.x265-beAst.mkv"
"The.Revenant.2015.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS.mkv",28461898140,26.51,True,"/Volumes/Media_Lib/Movies/The.Revenant.2015.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS/The.Revenant.2015.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS.mkv","/Volumes/Media_Lib-1/荒野猎人.The.Revenant.2015.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS/The.Revenant.2015.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS.mkv"
"The.Bourne.Ultimatum.2007.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS.mkv",27670126219,25.77,True,"/Volumes/Media_Lib/Movies/0-谍影重重合集/谍影重重3.The.Bourne.Ultimatum.2007.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS/The.Bourne.Ultimatum.2007.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS.mkv","/Volumes/Media_Lib-1/谍影重重系列/谍影重重3.The.Bourne.Ultimatum.2007.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS/The.Bourne.Ultimatum.2007.BluRay.2160p.x265.10bit.4Audio.mUHD-FRDS.mkv"
"Parasite.2019.2160p.BluRay.x265.10bit.Atmos.TrueHD7.1-WiKi.mkv",27638632224,25.74,True,"/Volumes/Media_Lib/Movies/Parasite.2019.2160p.BluRay.x265.10bit.Atmos.TrueHD7.1-WiKi/Parasite.2019.2160p.BluRay.x265.10bit.Atmos.TrueHD7.1-WiKi.mkv","/Volumes/Media_Lib-1/Parasite.2019.2160p.BluRay.x265.10bit.Atmos.TrueHD7.1-WiKi/Parasite.2019.2160p.BluRay.x265.10bit.Atmos.TrueHD7.1-WiKi.mkv"
"The.First.Slam.Dunk.2022.2160p.UHD.BluRay.TrueHD.Atmos.7.1.DoVi.x265-PuTao.mkv",27477271738,25.59,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/The.First.Slam.Dunk.2022.2160p.UHD.BluRay.TrueHD.Atmos.7.1.DoVi.x265-PuTao/The.First.Slam.Dunk.2022.2160p.UHD.BluRay.TrueHD.Atmos.7.1.DoVi.x265-PuTao.mkv","/Volumes/Media_Lib-1/The.First.Slam.Dunk.2022.2160p.UHD.BluRay.TrueHD.Atmos.7.1.DoVi.x265-PuTao/The.First.Slam.Dunk.2022.2160p.UHD.BluRay.TrueHD.Atmos.7.1.DoVi.x265-PuTao.mkv"
"X-Men.2000.BluRay.2160p.x265.10bit.HDR.2Audios.mUHD-FRDS.mkv",27408478092,25.53,True,"/Volumes/Media_Lib/Movies/0-X战警合集/X战警1.X-Men.2000.BluRay.2160p.x265.10bit.HDR.2Audios.mUHD-FRDS/X-Men.2000.BluRay.2160p.x265.10bit.HDR.2Audios.mUHD-FRDS.mkv","/Volumes/Media_Lib-1/X战警.X-Men.2000.BluRay.2160p.x265.10bit.HDR.2Audios.mUHD-FRDS/X-Men.2000.BluRay.2160p.x265.10bit.HDR.2Audios.mUHD-FRDS.mkv"
"Luca.2021.UHD.Blu-ray.2160p.10bit.HDR.4Audio.TrueHD(Atmos).7.1.x265-beAst.mkv",27073859115,25.21,True,"/Volumes/Media_Lib/Kid/Luca.2021.UHD.Blu-ray.2160p.10bit.HDR.4Audio.TrueHD(Atmos).7.1.x265-beAst/Luca.2021.UHD.Blu-ray.2160p.10bit.HDR.4Audio.TrueHD(Atmos).7.1.x265-beAst.mkv","/Volumes/Media_Lib-1/Luca.2021.UHD.Blu-ray.2160p.10bit.HDR.4Audio.TrueHD(Atmos).7.1.x265-beAst/Luca.2021.UHD.Blu-ray.2160p.10bit.HDR.4Audio.TrueHD(Atmos).7.1.x265-beAst.mkv"
"John.Wick.Chapter.4.2023.2160p.WEB-DL.HEVC.Atmos.DDP5.1-HDH.mkv",26954865235,25.10,True,"/Volumes/Media_Lib/Movies/J 疾速追杀系列.John.Wick.Chapter（1-3）/John.Wick.Chapter.4.2023.2160p.WEB-DL.HEVC.Atmos.DDP5.1-HDH/John.Wick.Chapter.4.2023.2160p.WEB-DL.HEVC.Atmos.DDP5.1-HDH.mkv","/Volumes/Media_Lib-1/John.Wick.Chapter.4.2023.2160p.WEB-DL.HEVC.Atmos.DDP5.1-HDH/John.Wick.Chapter.4.2023.2160p.WEB-DL.HEVC.Atmos.DDP5.1-HDH.mkv"
"Poor.Things.2023.V2.2160p.iT.WEB-DL.H265.DV.DDP5.1.Atmos-ADWeb.mkv",26936100750,25.09,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/Poor.Things.2023.V2.2160p.iT.WEB-DL.H265.DV.DDP5.1.Atmos-ADWeb/Poor.Things.2023.V2.2160p.iT.WEB-DL.H265.DV.DDP5.1.Atmos-ADWeb.mkv","/Volumes/Media_Lib-1/Poor.Things.2023.V2.2160p.iT.WEB-DL.H265.DV.DDP5.1.Atmos-ADWeb/Poor.Things.2023.V2.2160p.iT.WEB-DL.H265.DV.DDP5.1.Atmos-ADWeb.mkv"
"The.Fabelmans.2022.UHD.BluRay.2160p.TrueHD.Atmos.7.1.x265.10bit.HDR-BeiTai.mkv",26913465123,25.07,True,"/Volumes/Media_Lib/Movies/The.Fabelmans.2022.UHD.BluRay.2160p.TrueHD.Atmos.7.1.x265.10bit.HDR-BeiTai/The.Fabelmans.2022.UHD.BluRay.2160p.TrueHD.Atmos.7.1.x265.10bit.HDR-BeiTai.mkv","/Volumes/Media_Lib-1/The.Fabelmans.2022.UHD.BluRay.2160p.TrueHD.Atmos.7.1.x265.10bit.HDR-BeiTai/The.Fabelmans.2022.UHD.BluRay.2160p.TrueHD.Atmos.7.1.x265.10bit.HDR-BeiTai.mkv"
"Roman.Holiday.1953.2160p.UHD.Bluray.TrueHD.2.0.DoVi.HDR10.x265-PTer.mkv",26691676521,24.86,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/Roman.Holiday.1953.2160p.UHD.Bluray.TrueHD.2.0.DoVi.HDR10.x265-PTer.mkv","/Volumes/Media_Lib-1/Roman.Holiday.1953.2160p.UHD.Bluray.TrueHD.2.0.DoVi.HDR10.x265-PTer.mkv"
"Bohemian.Rhapsody.2018.UHD.BluRay.2160p.2Audio.TrueHD(Atmos).7.1.HDR.10bit.x265-beAst.mkv",26565466617,24.74,True,"/Volumes/Media_Lib/Movies/Bohemian.Rhapsody.2018.UHD.BluRay.2160p.2Audio.TrueHD(Atmos).7.1.HDR.10bit.x265-beAst/Bohemian.Rhapsody.2018.UHD.BluRay.2160p.2Audio.TrueHD(Atmos).7.1.HDR.10bit.x265-beAst.mkv","/Volumes/Media_Lib-1/Bohemian.Rhapsody.2018.UHD.BluRay.2160p.2Audio.TrueHD(Atmos).7.1.HDR.10bit.x265-beAst/Bohemian.Rhapsody.2018.UHD.BluRay.2160p.2Audio.TrueHD(Atmos).7.1.HDR.10bit.x265-beAst.mkv"
"X2.2003.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS.mkv",26238857512,24.44,True,"/Volumes/Media_Lib/Movies/0-X战警合集/X战警2.X2.2003.BluRay.2160p.x265.10bit.HDR.2Audios.mUHD-FRDS/X2.2003.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS.mkv","/Volumes/Media_Lib-1/X战警2.X2.2003.BluRay.2160p.x265.10bit.HDR.2Audios.mUHD-FRDS/X2.2003.BluRay.2160p.x265.10bit.HDR.2Audio.mUHD-FRDS.mkv"
"长安三万里.Chang.An.2023.2160p.HQ.WEB-DL.DDP.AAC.H.265-HDSWEB.mkv",25595573309,23.84,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/长安三万里.Chang.An.2023.2160p.HQ.WEB-DL.DDP.AAC.H.265-HDSWEB.mkv","/Volumes/Media_Lib-1/长安三万里.Chang.An.2023.2160p.HQ.WEB-DL.DDP.AAC.H.265-HDSWEB.mkv"
"Mission.Impossible.Dead.Reckoning.Part.One.2023.V2.2160p.HQ.WEB-DL.H265.DDP5.1.2Audio-CHDWEB.mkv",25419300626,23.67,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/碟中谍7：致命清算（上）.Mission.Impossible.Dead.Reckoning.Part.One.2023.V2.2160p.HQ.WEB-DL.H265.DDP5.1.2Audio-CHDWEB/Mission.Impossible.Dead.Reckoning.Part.One.2023.V2.2160p.HQ.WEB-DL.H265.DDP5.1.2Audio-CHDWEB.mkv","/Volumes/Media_Lib-1/碟中谍7：致命清算（上）.Mission.Impossible.Dead.Reckoning.Part.One.2023.V2.2160p.HQ.WEB-DL.H265.DDP5.1.2Audio-CHDWEB/Mission.Impossible.Dead.Reckoning.Part.One.2023.V2.2160p.HQ.WEB-DL.H265.DDP5.1.2Audio-CHDWEB.mkv"
"X-Men.Days.of.Future.Past.2014.BluRay.2160p.x265.10bit.2Audio.mUHD-FRDS.mkv",25353662194,23.61,True,"/Volumes/Media_Lib/Movies/0-X战警合集/X战警：逆转未来.X-Men.Days.of.Future.Past.2014.BluRay.2160p.x265.10bit.2Audio.mUHD-FRDS/X-Men.Days.of.Future.Past.2014.BluRay.2160p.x265.10bit.2Audio.mUHD-FRDS.mkv","/Volumes/Media_Lib-1/X战警：逆转未来.X-Men.Days.of.Future.Past.2014.BluRay.2160p.x265.10bit.2Audio.mUHD-FRDS/X-Men.Days.of.Future.Past.2014.BluRay.2160p.x265.10bit.2Audio.mUHD-FRDS.mkv"
"Lawrence.of.Arabia.1962.Repack.UHD.BluRay.Part.2.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst.mkv",24774002071,23.07,True,"/Volumes/Media_Lib/Movies/Lawrence.of.Arabia.1962.Repack.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst/Lawrence.of.Arabia.1962.Repack.UHD.BluRay.Part.2.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst.mkv","/Volumes/Media_Lib-1/Lawrence.of.Arabia.1962.Repack.UHD.BluRay.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst/Lawrence.of.Arabia.1962.Repack.UHD.BluRay.Part.2.2160p.10bit.DoVi.3Audio.TrueHD(Atmos).7.1.x265-beAst.mkv"
"[无名].Hidden.Blade.2023.2160p.V2.60fps.WEB-DL.HEVC.10bit.DDP5.1.2Audios-QHstudIo.mp4",24585474188,22.90,True,"/Volumes/Media_Lib/Movies/[无名].Hidden.Blade.2023.2160p.V2.60fps.WEB-DL.HEVC.10bit.DDP5.1.2Audios-QHstudIo/[无名].Hidden.Blade.2023.2160p.V2.60fps.WEB-DL.HEVC.10bit.DDP5.1.2Audios-QHstudIo.mp4","/Volumes/Media_Lib-1/[无名].Hidden.Blade.2023.2160p.V2.60fps.WEB-DL.HEVC.10bit.DDP5.1.2Audios-QHstudIo/[无名].Hidden.Blade.2023.2160p.V2.60fps.WEB-DL.HEVC.10bit.DDP5.1.2Audios-QHstudIo.mp4"
